Date,Test #,Serial #,Grade Match #1,Grade Match #2,Grade Match #3,Mode,AVG Flag,H,H +/-,Si,Si +/-,P,P +/-,S,S +/-,K,K +/-,Ca,Ca +/-,Ti,Ti +/-,V,V +/-,Cr,Cr +/-,Mn,Mn +/-,Fe,Fe +/-,Co,Co +/-,Ni,Ni +/-,Cu,Cu +/-,Zn,Zn +/-,As,As +/-,Se,Se +/-,Rb,Rb +/-,Sr,Sr +/-,Y,Y +/-,Zr,Zr +/-,Nb,Nb +/-,Mo,Mo +/-,Ag,Ag +/-,Cd,Cd +/-,Sn,Sn +/-,Sb,Sb +/-,Cs,Cs +/-,Ba,Ba +/-,Ta,Ta +/-,W,W +/-,Hg,Hg +/-,Tl,Tl +/-,Pb,Pb +/-,Bi,Bi +/-,Th,Th +/-,U,U +/-
2026-04-09 10:32:52,21741,X550-Unknown,,,,Mining,,99.37,1.53,0.30,0.01,0.03,0.00,0.04,0.00,0.04,0.00,0.05,0.00,,,,,,,,,,,,,,,0.02,0.00,0.06,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.06,0.00,0.01,0.00,0.00,0.00
2026-04-09 10:32:52,21741,X550-Unknown,,,,Soil,,,,,,ND,< -0.08,ND,< 0.02,0.02,0.00,0.01,0.00,ND,< -0.00,ND,< -0.00,ND,< -0.00,ND,< -0.00,ND,< -0.01,ND,< -0.00,ND,< 0.00,0.04,0.00,0.11,0.00,ND,< -0.00,ND,< 0.00,0.00,0.00,0.00,0.00,ND,< 0.00,ND,< 0.00,ND,< 0.00,ND,< -0.00,ND,< 0.00,ND,< -0.00,0.01,0.00,ND,< -0.00,ND,< 0.00,ND,< 0.00,0.01,0.00,ND,< 0.00,0.00,0.00,ND,< -0.00,0.01,0.00,,,,,,
